request_id,phase,dispatch_group,dispatch_group_size,session_id,turn_id,prompt_tokens,reused_prefix_tokens_est,appended_tokens_est,reuse_ratio_est,expected_external_hit,elapsed_ms,usage_prompt_tokens,usage_completion_tokens,lmcache_requested_tokens,lmcache_hit_tokens,lmcache_vllm_hit_tokens,lmcache_hit_ratio,lmcache_remote_read_GiB,lmcache_remote_write_GiB,group_lmcache_hit_ratio,group_lmcache_remote_read_GiB,group_lmcache_remote_write_GiB,metrics_attribution_scope,tx_total_GiB,rx_total_GiB,total_transfer_GiB,peak_tx_GiB_s,peak_rx_GiB_s,peak_total_GiB_s
tb_session_00_turn_000_seed,seed,seed_tb_session_00,1,tb_session_00,0,24576,0,24576,0.000000,0,3348.000000,24576,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.000000,0.000000,3.375000,dispatch_group,4.116325,0.039380,4.155705,15.453109,0.045075,15.498184
tb_session_00_turn_001_reuse,reuse,reuse_round_001,12,tb_session_00,1,24832,24576,256,0.989691,1,4779.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_01_turn_001_reuse,reuse,reuse_round_001,12,tb_session_01,1,24832,24576,256,0.989691,1,7982.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_02_turn_001_reuse,reuse,reuse_round_001,12,tb_session_02,1,24832,24576,256,0.989691,1,11733.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_03_turn_001_reuse,reuse,reuse_round_001,12,tb_session_03,1,24832,24576,256,0.989691,1,14509.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_04_turn_001_reuse,reuse,reuse_round_001,12,tb_session_04,1,24832,24576,256,0.989691,1,17289.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_05_turn_001_reuse,reuse,reuse_round_001,12,tb_session_05,1,24832,24576,256,0.989691,1,20590.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_06_turn_001_reuse,reuse,reuse_round_001,12,tb_session_06,1,24832,24576,256,0.989691,1,30713.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_07_turn_001_reuse,reuse,reuse_round_001,12,tb_session_07,1,24832,24576,256,0.989691,1,27331.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_08_turn_001_reuse,reuse,reuse_round_001,12,tb_session_08,1,24832,24576,256,0.989691,1,36126.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_09_turn_001_reuse,reuse,reuse_round_001,12,tb_session_09,1,24832,24576,256,0.989691,1,23959.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_10_turn_001_reuse,reuse,reuse_round_001,12,tb_session_10,1,24832,24576,256,0.989691,1,33764.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_11_turn_001_reuse,reuse,reuse_round_001,12,tb_session_11,1,24832,24576,256,0.989691,1,36287.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,5.203125,28.406250,dispatch_group,41.776933,5.677556,47.454489,15.460607,31.898497,35.102712
tb_session_00_turn_002_reuse,reuse,reuse_round_002,12,tb_session_00,2,25088,24832,256,0.989796,1,5487.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,6.960938,7.242188,dispatch_group,5.751346,48.691405,54.442751,12.084143,42.881444,42.885634
tb_session_01_turn_002_reuse,reuse,reuse_round_002,12,tb_session_01,2,25088,24832,256,0.989796,1,5486.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,6.960938,7.242188,dispatch_group,5.751346,48.691405,54.442751,12.084143,42.881444,42.885634
tb_session_02_turn_002_reuse,reuse,reuse_round_002,12,tb_session_02,2,25088,24832,256,0.989796,1,5523.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,6.960938,7.242188,dispatch_group,5.751346,48.691405,54.442751,12.084143,42.881444,42.885634
tb_session_03_turn_002_reuse,reuse,reuse_round_002,12,tb_session_03,2,25088,24832,256,0.989796,1,5520.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,6.960938,7.242188,dispatch_group,5.751346,48.691405,54.442751,12.084143,42.881444,42.885634
tb_session_04_turn_002_reuse,reuse,reuse_round_002,12,tb_session_04,2,25088,24832,256,0.989796,1,5520.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,6.960938,7.242188,dispatch_group,5.751346,48.691405,54.442751,12.084143,42.881444,42.885634
tb_session_05_turn_002_reuse,reuse,reuse_round_002,12,tb_session_05,2,25088,24832,256,0.989796,1,5518.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,6.960938,7.242188,dispatch_group,5.751346,48.691405,54.442751,12.084143,42.881444,42.885634
tb_session_06_turn_002_reuse,reuse,reuse_round_002,12,tb_session_06,2,25088,24832,256,0.989796,1,5516.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,6.960938,7.242188,dispatch_group,5.751346,48.691405,54.442751,12.084143,42.881444,42.885634
