request_id,phase,dispatch_group,dispatch_group_size,session_id,turn_id,prompt_tokens,reused_prefix_tokens_est,appended_tokens_est,reuse_ratio_est,expected_external_hit,max_tokens,source_dataset,source_row_index,source_row_id,source_row_name,source_num_steps,source_total_tokens,submit_ts_unix_ms,response_finish_ts_unix_ms,post_metrics_ts_unix_ms,elapsed_ms,group_submit_ts_unix_ms,group_response_finish_ts_unix_ms,group_post_metrics_ts_unix_ms,group_elapsed_ms,response_id,usage_prompt_tokens,usage_completion_tokens,http_status,error,metrics_error,lmcache_requested_tokens,lmcache_hit_tokens,lmcache_vllm_hit_tokens,lmcache_remote_read_bytes,lmcache_remote_write_bytes,lmcache_remote_read_requests,lmcache_remote_write_requests,lmcache_hit_ratio,lmcache_remote_read_GiB,lmcache_remote_write_GiB,group_lmcache_requested_tokens,group_lmcache_hit_tokens,group_lmcache_vllm_hit_tokens,group_lmcache_remote_read_bytes,group_lmcache_remote_write_bytes,group_lmcache_remote_read_requests,group_lmcache_remote_write_requests,group_lmcache_hit_ratio,group_lmcache_remote_read_GiB,group_lmcache_remote_write_GiB,metrics_attribution_scope
tb_session_00_turn_000_seed,seed,seed_tb_session_00,1,tb_session_00,0,24576,0,24576,0.0,0,16,yoonholee/terminalbench-trajectories,928,e2efa762-2993-4757-93cf-95438881fe2a,bn-fit-modify,86,54155,1775015850371,1775015853723,1775015854931,3352,1775015850370,1775015853723,1775015854931,3353,cmpl-811875adace0ddda,24576,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,0,0,0,0,0,0,0,0.0,0.0,0.0,dispatch_group
tb_session_00_turn_001_reuse,reuse,reuse_round_001,8,tb_session_00,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,928,e2efa762-2993-4757-93cf-95438881fe2a,bn-fit-modify,86,54155,1775015854939,1775015859612,1775015879074,4673,1775015854938,1775015877850,1775015879074,22912,cmpl-a21d85d1992ab3fb,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,35328,35328,0,5209325568,18874368000,5,500,1.0,4.8515625,17.578125,dispatch_group
tb_session_01_turn_001_reuse,reuse,reuse_round_001,8,tb_session_01,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,275,1b7f4d3c-01fe-4cb7-bdcf-647d5e9d0fe2,adaptive-rejection-sampler,149,47406,1775015854940,1775015862816,1775015879074,7876,1775015854938,1775015877850,1775015879074,22912,cmpl-bfa1a3a3901e7e54,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,35328,35328,0,5209325568,18874368000,5,500,1.0,4.8515625,17.578125,dispatch_group
tb_session_02_turn_001_reuse,reuse,reuse_round_001,8,tb_session_02,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,534,926cd05d-a646-4d89-a419-00d3e0e47813,adaptive-rejection-sampler,48,47396,1775015854942,1775015866574,1775015879074,11632,1775015854938,1775015877850,1775015879074,22912,cmpl-b2a9d26f5f0da738,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,35328,35328,0,5209325568,18874368000,5,500,1.0,4.8515625,17.578125,dispatch_group
tb_session_03_turn_001_reuse,reuse,reuse_round_001,8,tb_session_03,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,925,66a2bc88-1106-47ae-83c4-08a16b336328,bn-fit-modify,60,45527,1775015854944,1775015869362,1775015879074,14418,1775015854938,1775015877850,1775015879074,22912,cmpl-8dc9695e74bec092,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,35328,35328,0,5209325568,18874368000,5,500,1.0,4.8515625,17.578125,dispatch_group
tb_session_04_turn_001_reuse,reuse,reuse_round_001,8,tb_session_04,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,277,a5c20ce4-9531-4659-9b87-db43caf205d2,adaptive-rejection-sampler,147,44694,1775015854946,1775015872185,1775015879074,17239,1775015854938,1775015877850,1775015879074,22912,cmpl-a44d4d96761409e6,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,35328,35328,0,5209325568,18874368000,5,500,1.0,4.8515625,17.578125,dispatch_group
tb_session_05_turn_001_reuse,reuse,reuse_round_001,8,tb_session_05,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,385,39b4dc94-ce41-4dac-af99-4abd0404f602,adaptive-rejection-sampler,71,44527,1775015854947,1775015875555,1775015879074,20608,1775015854938,1775015877850,1775015879074,22912,cmpl-8aac42d2508081ef,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,35328,35328,0,5209325568,18874368000,5,500,1.0,4.8515625,17.578125,dispatch_group
tb_session_06_turn_001_reuse,reuse,reuse_round_001,8,tb_session_06,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,375,57212867-f8b4-4520-a0c4-eb5de38684dc,adaptive-rejection-sampler,60,39329,1775015854949,1775015877850,1775015879074,22901,1775015854938,1775015877850,1775015879074,22912,cmpl-8d67959cf5edb0c4,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,35328,35328,0,5209325568,18874368000,5,500,1.0,4.8515625,17.578125,dispatch_group
tb_session_07_turn_001_reuse,reuse,reuse_round_001,8,tb_session_07,1,24832,24576,256,0.9896907216494846,1,16,yoonholee/terminalbench-trajectories,551,90dc81c5-88cf-4807-a8d2-17618d3c32ab,adaptive-rejection-sampler,14,37374,1775015854950,1775015877701,1775015879074,22751,1775015854938,1775015877850,1775015879074,22912,cmpl-b024f9690ef82806,24832,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,35328,35328,0,5209325568,18874368000,5,500,1.0,4.8515625,17.578125,dispatch_group
tb_session_00_turn_002_reuse,reuse,reuse_round_002,8,tb_session_00,2,25088,24832,256,0.9897959183673469,1,16,yoonholee/terminalbench-trajectories,928,e2efa762-2993-4757-93cf-95438881fe2a,bn-fit-modify,86,54155,1775015879094,1775015882858,1775015884111,3764,1775015879093,1775015882887,1775015884111,3794,cmpl-b2fe1f1228bdfd18,25088,16,200,,,-1,-1,-1,-1,-1,-1,-1,-1.0,-1.0,-1.0,26880,2048,0,3963617280,8531214336,3,226,0.0761904761904762,3.69140625,7.9453125,dispatch_group
