request_id,phase,dispatch_group,dispatch_group_size,session_id,turn_id,prompt_tokens,reused_prefix_tokens_est,appended_tokens_est,reuse_ratio_est,expected_external_hit,elapsed_ms,usage_prompt_tokens,usage_completion_tokens,lmcache_requested_tokens,lmcache_hit_tokens,lmcache_vllm_hit_tokens,lmcache_hit_ratio,lmcache_remote_read_GiB,lmcache_remote_write_GiB,group_lmcache_hit_ratio,group_lmcache_remote_read_GiB,group_lmcache_remote_write_GiB,metrics_attribution_scope,tx_total_GiB,rx_total_GiB,total_transfer_GiB,peak_tx_GiB_s,peak_rx_GiB_s,peak_total_GiB_s
tb_session_00_turn_000_seed,seed,seed_tb_session_00,1,tb_session_00,0,24576,0,24576,0.000000,0,3362.000000,24576,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.000000,0.000000,3.375000,dispatch_group,3.616557,0.030363,3.646919,15.456042,0.027986,15.463586
tb_session_00_turn_001_reuse,reuse,reuse_round_001,4,tb_session_00,1,24832,24576,256,0.989691,1,4786.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,3.972656,9.281250,dispatch_group,10.792278,4.749960,15.542238,15.471736,28.295396,31.606573
tb_session_01_turn_001_reuse,reuse,reuse_round_001,4,tb_session_01,1,24832,24576,256,0.989691,1,7884.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,3.972656,9.281250,dispatch_group,10.792278,4.749960,15.542238,15.471736,28.295396,31.606573
tb_session_02_turn_001_reuse,reuse,reuse_round_001,4,tb_session_02,1,24832,24576,256,0.989691,1,10166.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,3.972656,9.281250,dispatch_group,10.792278,4.749960,15.542238,15.471736,28.295396,31.606573
tb_session_03_turn_001_reuse,reuse,reuse_round_001,4,tb_session_03,1,24832,24576,256,0.989691,1,10325.000000,24832,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,1.000000,3.972656,9.281250,dispatch_group,10.792278,4.749960,15.542238,15.471736,28.295396,31.606573
tb_session_00_turn_002_reuse,reuse,reuse_round_002,4,tb_session_00,2,25088,24832,256,0.989796,1,2004.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,dispatch_group,2.011452,15.930564,17.942016,3.873091,33.726216,36.902165
tb_session_01_turn_002_reuse,reuse,reuse_round_002,4,tb_session_01,2,25088,24832,256,0.989796,1,2022.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,dispatch_group,2.011452,15.930564,17.942016,3.873091,33.726216,36.902165
tb_session_02_turn_002_reuse,reuse,reuse_round_002,4,tb_session_02,2,25088,24832,256,0.989796,1,2019.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,dispatch_group,2.011452,15.930564,17.942016,3.873091,33.726216,36.902165
tb_session_03_turn_002_reuse,reuse,reuse_round_002,4,tb_session_03,2,25088,24832,256,0.989796,1,2019.000000,25088,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,dispatch_group,2.011452,15.930564,17.942016,3.873091,33.726216,36.902165
tb_session_00_turn_003_reuse,reuse,reuse_round_003,4,tb_session_00,3,25344,25088,256,0.989899,1,2122.000000,25344,16,-1,-1,-1,-1.000000,-1.000000,-1.000000,0.000000,0.000000,0.000000,dispatch_group,2.049944,15.077062,17.127007,5.800928,31.043542,34.203380
